,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
1290,1291,7,14,0.5,2,4,0.5,7,10,0.7,3,6,12,0,3,5,1,23,23.8,2,1,3,36.2666667,32.87123288
1291,1292,12,24,0.5,4,7,0.571,3,3,1,2,4,8,2,1,3,4,31,25.3,1,1,8,36.6333333,32.87671233
1292,1293,17,26,0.654,4,9,0.444,1,5,0.2,1,13,6,0,0,6,0,39,28.8,1,1,5,46.1333333,32.88219178
1293,1294,7,14,0.5,3,5,0.6,1,1,1,0,2,8,1,1,0,2,18,18.1,21,1,28,27.2666667,32.89041096
1294,1295,11,17,0.647,4,7,0.571,7,9,0.778,1,5,5,2,0,3,2,33,28.6,20,1,10,33.4333333,32.89589041
1295,1296,10,20,0.5,3,8,0.375,4,7,0.571,1,15,13,0,3,3,2,27,28.4,-2,1,1,39.5666667,32.90136986
1296,1297,12,23,0.522,3,7,0.429,3,4,0.75,3,11,6,0,0,3,0,30,24.9,1,1,22,31.05,32.90958904
1297,1298,10,16,0.625,1,3,0.333,0,1,0,2,10,6,5,1,2,1,21,25.3,26,1,11,28.4333333,32.91232877
1298,1299,8,11,0.727,3,6,0.5,5,7,0.714,1,5,12,2,2,3,3,24,28.5,10,1,7,37.5666667,32.91780822
1299,1300,13,22,0.591,0,3,0,8,8,1,0,2,12,0,1,5,1,34,28.1,-5,1,5,39.15,32.92328767
1300,1301,9,15,0.6,2,4,0.5,3,4,0.75,0,7,6,2,0,2,1,23,21.6,27,1,22,34.2666667,32.92876712
1301,1302,12,18,0.667,5,8,0.625,3,6,0.5,2,9,9,3,2,7,0,32,30.8,2,1,6,41.05,32.93424658
1302,1303,12,22,0.545,1,5,0.2,4,5,0.8,2,8,8,1,2,3,1,29,26.4,3,0,-4,39.4166667,32.93972603
1303,1304,9,23,0.391,2,6,0.333,10,12,0.833,3,10,13,3,0,6,1,30,27.5,-3,1,7,38.7333333,32.94246575
1304,1305,11,13,0.846,2,3,0.667,1,2,0.5,0,7,17,2,0,2,4,25,32.3,19,1,9,35.0166667,32.95068493
1305,1306,8,18,0.444,1,6,0.167,8,12,0.667,1,11,12,2,2,5,0,25,24.8,14,1,9,38.7166667,32.95616438
1306,1307,9,15,0.6,1,4,0.25,10,10,1,0,11,10,1,0,5,2,29,27.6,0,1,9,36.8,32.96164384
1307,1308,8,23,0.348,2,7,0.286,2,3,0.667,2,9,15,0,1,6,4,20,14.4,4,1,7,41.35,32.96438356
1308,1309,14,22,0.636,6,11,0.545,5,5,1,0,1,7,3,2,7,1,39,31.4,-7,0,-3,34.2333333,32.96986301
1309,1310,12,23,0.522,2,5,0.4,8,8,1,1,5,9,3,0,4,1,34,29.8,5,1,3,39.1,32.97534247
1310,1311,7,18,0.389,2,7,0.286,4,7,0.571,1,5,6,0,0,7,2,20,7.6,-1,0,-7,40.05,32.98630137
1311,1312,6,17,0.353,0,2,0,4,5,0.8,2,8,14,5,0,4,2,16,19.9,-11,0,-14,37.7,32.99178082
1312,1313,12,22,0.545,1,7,0.143,4,5,0.8,1,7,6,2,1,6,1,29,21.3,-5,0,-3,37.45,33
1313,1314,10,17,0.588,0,2,0,4,4,1,1,5,8,4,1,3,2,24,24.8,0,1,17,33.8166667,33.00821918
1314,1315,8,15,0.533,0,2,0,3,3,1,0,7,6,1,1,4,1,19,15.3,-6,0,-14,32.7,33.0109589
1315,1316,12,23,0.522,4,7,0.571,5,7,0.714,3,7,9,6,1,3,1,33,34.7,15,1,4,37.2833333,33.01917808
1316,1317,4,8,0.5,1,3,0.333,1,3,0.333,1,7,5,0,2,3,2,10,9.1,-39,0,-28,26.5833333,33.02465753
1317,1318,9,16,0.563,0,1,0,8,10,0.8,0,3,1,1,2,2,1,26,19.2,-22,0,-34,32.2333333,33.03287671
1318,1319,11,25,0.44,2,9,0.222,3,4,0.75,2,6,11,3,1,5,2,27,22.3,-6,0,-2,40.45,33.03561644
1319,1320,12,18,0.667,0,2,0,8,13,0.615,2,6,6,3,4,8,3,32,26.2,-14,0,-10,36.25,33.04383562
1320,1321,7,16,0.438,0,4,0,2,8,0.25,1,4,6,1,0,6,1,16,5.9,-4,1,1,34.7833333,33.05205479
1321,1322,8,17,0.471,0,4,0,2,4,0.5,0,3,7,0,1,2,2,18,12.2,-33,0,-24,38.3666667,33.05753425
1322,1323,10,23,0.435,2,6,0.333,6,10,0.6,2,7,7,0,1,5,0,28,18.4,-10,0,-12,37.95,33.06575342
1323,1324,11,17,0.647,0,2,0,4,5,0.8,0,10,11,4,1,11,0,26,22.5,12,1,7,39.9166667,33.0739726
1324,1325,8,15,0.533,1,4,0.25,8,9,0.889,1,7,14,1,0,3,0,25,27.9,18,1,17,37.8,33.07945205
1325,1326,9,20,0.45,2,7,0.286,1,2,0.5,0,6,7,0,1,4,2,21,12.8,-13,0,-11,37.75,33.08493151
1326,1327,8,21,0.381,1,6,0.167,7,11,0.636,2,9,5,1,0,7,1,24,12.1,3,1,2,38.2833333,33.08767123
1327,1328,3,10,0.3,1,2,0.5,4,4,1,1,8,9,2,1,2,0,11,15.3,-17,0,-32,31.3666667,33.09589041
1328,1329,10,17,0.588,2,4,0.5,3,4,0.75,1,9,5,1,0,6,4,25,17,-14,0,-18,33.0833333,33.10410959
1329,1330,16,22,0.727,5,7,0.714,0,2,0,1,9,15,1,1,5,3,37,36.6,-1,1,2,48.3166667,33.10684932
1330,1331,8,20,0.4,0,3,0,6,7,0.857,2,10,19,0,0,3,2,22,24.7,12,1,16,40.7166667,33.11232877
1331,1332,9,20,0.45,2,5,0.4,4,7,0.571,0,8,10,1,1,2,1,24,21.1,23,1,22,27.9,33.11780822
1332,1333,14,23,0.609,3,7,0.429,6,10,0.6,0,8,8,0,1,5,1,37,28.2,-1,1,8,39.7333333,33.12328767
1333,1334,13,18,0.722,1,4,0.25,5,9,0.556,1,8,8,2,0,4,2,32,28.9,-10,0,-7,36.6,33.14794521
1334,1335,7,16,0.438,0,2,0,4,4,1,0,14,11,1,0,3,0,18,19.5,18,1,23,36.6666667,33.15068493
1335,1336,14,25,0.56,2,5,0.4,3,4,0.75,2,11,9,1,0,6,3,33,25.5,-8,0,-16,39.9666667,33.15616438
1336,1337,13,25,0.52,2,4,0.5,3,3,1,4,8,11,1,0,1,1,31,31.2,2,1,6,38.7666667,33.16164384
1337,1338,12,24,0.5,2,6,0.333,4,6,0.667,1,8,8,1,0,3,2,30,23.1,-8,0,-11,39.0333333,33.16712329
1338,1339,8,19,0.421,1,4,0.25,8,11,0.727,1,9,15,2,0,3,2,25,25.8,-6,0,-9,42.3833333,33.17260274
1339,1340,11,17,0.647,5,7,0.714,4,6,0.667,2,5,7,1,0,3,2,31,27.7,14,1,22,28.7333333,33.17808219
1340,1341,15,25,0.6,5,8,0.625,4,8,0.5,1,7,10,1,0,3,2,39,32.9,8,1,5,39.1333333,33.18356164
