,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
1404,1405,15,24,0.625,3,7,0.429,9,13,0.692,0,5,6,2,0,2,1,42,34.9,19,1,8,39.7,33.93150685
1405,1406,13,28,0.464,3,8,0.375,6,9,0.667,2,6,11,2,0,1,4,35,29.7,-19,0,-13,37.35,33.9369863
1406,1407,9,18,0.5,0,3,0,2,3,0.667,1,7,9,2,0,5,2,20,15.9,21,1,23,31.6333333,33.93972603
1407,1408,10,19,0.526,4,7,0.571,4,8,0.5,0,9,12,1,0,2,0,28,27.2,18,1,3,37.5166667,33.94520548
1408,1409,12,18,0.667,3,6,0.5,2,6,0.333,0,5,4,2,0,3,1,29,22.5,-9,0,-15,36.4333333,33.95342466
1409,1410,7,15,0.467,2,6,0.333,8,12,0.667,1,11,11,1,0,3,0,24,24.4,31,1,28,30.2166667,33.95890411
1410,1411,5,16,0.313,0,2,0,3,6,0.5,0,6,3,0,1,4,0,13,3.2,-21,0,-18,32,33.96164384
1411,1412,13,23,0.565,2,7,0.286,8,13,0.615,1,12,8,1,1,5,1,36,29.3,4,0,-5,41.2,33.96712329
1412,1413,8,20,0.4,0,4,0,6,9,0.667,2,10,14,2,0,2,3,22,23,13,1,8,38.75,33.97534247
1413,1414,8,14,0.571,2,5,0.4,4,4,1,1,13,7,1,1,4,0,22,22.6,-3,0,-8,35.6166667,33.98082192
1414,1415,6,11,0.545,0,2,0,5,8,0.625,2,11,5,1,0,2,1,17,17.3,5,1,26,21.25,33.98630137
1415,1416,9,22,0.409,1,6,0.167,5,7,0.714,1,13,9,1,0,4,0,24,19.3,2,1,3,40.4333333,34.08767123
1416,1417,7,12,0.583,2,5,0.4,2,3,0.667,0,7,9,1,0,6,1,18,15,-17,0,-42,30.2166667,34.10136986
1417,1418,11,21,0.524,5,10,0.5,1,5,0.2,2,10,12,3,0,3,4,28,27.3,11,1,1,37.7333333,34.10684932
1418,1419,8,16,0.5,2,6,0.333,0,0,,0,10,9,0,0,4,3,18,14.1,0,0,-23,33.15,34.11506849
1419,1420,8,20,0.4,3,10,0.3,9,11,0.818,2,9,16,3,1,2,3,28,32.2,0,0,-4,43.05,34.12054795
1420,1421,11,23,0.478,0,4,0,7,10,0.7,4,8,6,1,1,4,1,29,22.8,6,1,5,40.1333333,34.14520548
1421,1422,11,17,0.647,3,6,0.5,2,6,0.333,0,7,12,4,1,4,0,27,29.1,-10,0,-13,38.5166667,34.15068493
1422,1423,8,23,0.348,0,4,0,8,10,0.8,3,9,11,3,0,5,3,24,19.6,2,0,-5,39.7333333,34.15616438
1423,1424,13,24,0.542,4,9,0.444,3,8,0.375,1,5,10,2,1,2,2,33,28.5,2,1,6,37.3166667,34.16164384
1424,1425,10,19,0.526,3,8,0.375,8,10,0.8,2,5,10,1,0,3,2,31,28,-4,0,-11,38.8166667,34.16712329
1425,1426,10,21,0.476,4,9,0.444,3,7,0.429,0,9,16,0,0,3,2,27,24.8,-1,0,-9,40.7666667,34.16986301
1426,1427,9,18,0.5,1,6,0.167,8,12,0.667,0,8,6,1,1,2,3,27,21.5,-11,0,-8,42.4,34.17534247
1427,1428,13,22,0.591,2,7,0.286,3,8,0.375,0,7,7,1,1,4,4,31,21.9,-8,0,-16,31.1166667,34.18082192
1428,1429,13,23,0.565,1,5,0.2,3,7,0.429,2,8,12,0,0,3,0,30,26.7,11,0,-13,27.7666667,34.1890411
1429,1430,15,23,0.652,2,4,0.5,4,5,0.8,1,9,4,2,0,5,2,36,27.9,9,1,16,33.4,34.19726027
1430,1431,12,23,0.522,1,5,0.2,4,7,0.571,0,4,6,1,0,4,2,29,18.1,0,0,-13,31.7833333,34.20273973
1431,1432,11,26,0.423,0,6,0,11,13,0.846,2,4,8,0,1,2,2,33,24.5,9,0,-1,35,34.2109589
1432,1433,8,25,0.32,1,7,0.143,8,12,0.667,3,6,14,1,1,8,3,25,15.3,-2,0,-5,36.7,34.22465753
1433,1434,9,22,0.409,3,6,0.5,8,9,0.889,2,9,11,2,1,4,1,29,26.9,5,1,5,35.2666667,34.23013699
1434,1435,11,20,0.55,1,6,0.167,0,2,0,0,7,14,1,0,3,1,23,22.1,3,1,18,33.9,34.23561644
1435,1436,11,19,0.579,4,7,0.571,1,2,0.5,0,3,9,0,0,6,1,27,18.5,14,1,14,31.9666667,34.24383562
1436,1437,7,19,0.368,1,5,0.2,3,4,0.75,1,9,8,1,1,5,3,18,11.6,-8,0,-10,36,34.8109589
1437,1438,12,22,0.545,1,4,0.25,7,8,0.875,2,5,10,1,0,1,0,32,30.9,17,1,9,30.5666667,34.81917808
1438,1439,7,14,0.5,1,3,0.333,5,5,1,1,5,12,1,0,4,0,20,20.6,17,1,19,35.0166667,34.82465753
1439,1440,8,15,0.533,2,5,0.4,5,7,0.714,0,2,8,0,1,6,0,23,15.8,2,1,29,28.3166667,34.83013699
1440,1441,13,23,0.565,4,9,0.444,9,11,0.818,0,12,16,4,1,4,5,39,40.8,15,1,9,42.5333333,34.83835616
1441,1442,8,23,0.348,0,6,0,5,10,0.5,1,10,13,2,1,5,2,21,15.8,15,1,7,37.3,34.84383562
1442,1443,10,19,0.526,2,6,0.333,8,9,0.889,0,10,11,2,1,2,3,30,30.5,17,1,6,35.1833333,34.84931507
1443,1444,10,19,0.526,4,7,0.571,1,2,0.5,1,3,6,0,0,3,2,25,17.3,16,1,15,36.05,34.85753425
1444,1445,5,15,0.333,0,2,0,3,6,0.5,3,10,15,0,1,2,0,13,17.6,-6,0,-9,35.3333333,34.8630137
1445,1446,8,18,0.444,1,4,0.25,2,7,0.286,0,7,11,0,0,1,0,19,16.4,-2,1,8,37.0666667,34.86849315
1446,1447,11,21,0.524,1,5,0.2,0,1,0,2,4,12,1,1,4,1,23,20.6,13,1,26,26.4833333,34.87123288
1447,1448,10,20,0.5,2,7,0.286,7,7,1,3,1,11,3,0,2,1,29,29.7,13,1,2,38.6666667,34.87671233
1448,1449,13,21,0.619,6,10,0.6,1,1,1,0,7,12,1,1,0,1,33,35.3,30,1,21,33.1166667,34.88219178
1449,1450,10,21,0.476,2,5,0.4,3,5,0.6,0,11,10,2,0,7,2,25,18,6,1,5,37.1333333,34.88767123
1450,1451,9,20,0.45,1,3,0.333,4,6,0.667,1,5,14,1,1,5,2,23,19.7,3,1,3,35.6166667,34.89589041
1451,1452,14,27,0.519,2,9,0.222,0,0,,1,5,4,2,0,5,1,30,18.3,7,1,1,38.8333333,34.89863014
1452,1453,13,24,0.542,4,7,0.571,3,8,0.375,1,3,14,0,1,3,2,33,27.7,6,1,10,35.1333333,34.90410959
1453,1454,10,18,0.556,2,6,0.333,7,11,0.636,2,3,11,2,1,5,2,29,25.7,3,1,4,37.5833333,34.90958904
1454,1455,9,16,0.563,4,8,0.5,1,2,0.5,0,3,11,2,1,6,1,23,19.9,20,1,22,24.6,34.91506849
1455,1456,11,20,0.55,0,5,0,3,3,1,0,9,8,4,0,6,3,25,20.5,-16,0,-14,36.4166667,34.92054795
1456,1457,9,18,0.5,1,4,0.25,6,6,1,2,4,9,0,0,4,3,25,19.7,4,1,9,36.8833333,34.9260274
1457,1458,9,21,0.429,1,6,0.167,1,1,1,0,4,12,1,0,1,3,20,17.3,14,1,25,29.4666667,34.92876712
1458,1459,11,23,0.478,4,9,0.444,5,7,0.714,1,6,8,0,1,3,1,31,23.9,21,1,23,33.75,34.93424658
1459,1460,12,20,0.6,6,8,0.75,2,2,1,1,3,13,1,0,5,4,32,27.9,24,1,17,27.85,34.93972603
1460,1461,11,24,0.458,1,6,0.167,2,5,0.4,2,9,10,2,0,6,2,25,17.7,8,1,9,37.9166667,34.94794521
1461,1462,11,22,0.5,4,8,0.5,2,4,0.5,2,7,12,1,0,8,2,28,20.3,9,1,3,37.4333333,34.95342466
1462,1463,12,21,0.571,4,10,0.4,4,7,0.571,1,12,7,1,3,4,1,32,28.8,10,1,5,36.9333333,34.95890411
1463,1464,8,20,0.4,0,6,0,4,8,0.5,1,8,9,0,0,5,2,20,11.2,-9,0,-3,34.9,34.96438356
1464,1465,8,19,0.421,3,7,0.429,2,2,1,0,12,11,0,0,4,5,21,16.2,-14,0,-7,36.7333333,34.96986301
1465,1466,9,24,0.375,2,12,0.167,3,4,0.75,3,6,10,2,1,2,3,23,19.8,3,0,-5,38.8333333,34.98630137
1466,1467,7,15,0.467,1,4,0.25,6,8,0.75,1,6,16,2,1,1,2,21,27.1,5,1,8,36.7333333,34.99452055
1467,1468,3,10,0.3,2,4,0.5,5,6,0.833,0,6,13,2,0,2,2,13,16.9,5,1,13,34.3166667,34.99726027
1468,1469,11,21,0.524,1,4,0.25,8,12,0.667,2,11,12,2,1,5,0,31,29.9,18,1,10,38.0666667,35.00547945
1469,1470,7,17,0.412,1,3,0.333,2,5,0.4,0,8,15,2,0,2,1,17,19.2,17,1,10,37.2166667,35.0109589
1470,1471,10,21,0.476,0,3,0,1,2,0.5,3,11,11,0,0,3,2,21,19.2,23,1,7,35.0166667,35.01643836
1471,1472,9,19,0.474,6,12,0.5,7,7,1,0,5,5,2,1,4,2,31,24.2,26,1,30,31.4333333,35.02191781
1472,1473,14,25,0.56,3,6,0.5,4,5,0.8,2,14,7,1,0,3,0,35,31.2,13,1,15,32.2666667,35.03013699
1473,1474,12,16,0.75,1,3,0.333,6,7,0.857,0,2,8,1,0,3,2,31,27.6,19,1,29,32.7166667,35.03835616
1474,1475,7,19,0.368,2,9,0.222,3,5,0.6,0,3,19,1,0,5,1,19,17.5,-9,0,-1,36.25,35.04383562
1475,1476,13,25,0.52,2,7,0.286,3,5,0.6,0,5,12,2,0,6,3,31,22.6,2,1,9,35.4,35.05205479
1476,1477,5,12,0.417,0,2,0,5,5,1,3,4,13,0,0,4,1,15,16.6,-21,0,-32,29.1833333,35.05753425
1477,1478,9,16,0.563,2,5,0.4,1,3,0.333,0,6,5,5,0,4,0,21,18.9,13,1,8,36.05,35.0630137
1478,1479,11,19,0.579,3,6,0.5,2,2,1,2,9,10,1,1,5,0,27,25.9,26,1,15,33.6,35.06575342
1479,1480,9,18,0.5,1,6,0.167,10,13,0.769,0,7,8,1,0,8,3,29,18.3,-22,0,-17,35.35,35.07123288
1480,1481,9,22,0.409,3,8,0.375,1,4,0.25,2,6,10,0,1,5,2,22,14.1,7,0,-8,37.9833333,35.08767123
1481,1482,6,15,0.4,1,4,0.25,2,3,0.667,0,10,11,2,0,2,3,15,16,33,1,16,33.5666667,35.09041096
1482,1483,12,20,0.6,6,9,0.667,6,9,0.667,1,6,9,1,0,2,1,36,33,20,1,27,34.1833333,35.09863014
1483,1484,8,19,0.421,1,8,0.125,1,1,1,2,7,15,2,0,6,0,18,17.9,-4,0,-10,36.6333333,35.10410959
1484,1485,7,17,0.412,3,8,0.375,5,6,0.833,0,8,11,1,0,7,2,22,15.8,6,1,5,33.5666667,35.10958904
1485,1486,6,16,0.375,3,6,0.5,2,4,0.5,0,8,9,1,0,8,2,17,8.3,16,1,25,30.0833333,35.11506849
1486,1487,15,29,0.517,1,7,0.143,1,4,0.25,1,11,14,0,0,3,3,32,26.1,4,1,4,41.5,35.12054795
1487,1488,10,17,0.588,1,4,0.25,11,12,0.917,0,3,7,0,2,1,0,32,29.9,6,1,12,35.5833333,35.14520548
1488,1489,9,19,0.474,4,10,0.4,7,12,0.583,0,8,9,0,0,2,4,29,22.4,-1,1,2,11.4833333,35.15068493
1489,1490,17,27,0.63,5,11,0.455,1,2,0.5,2,6,6,0,1,7,1,40,28.2,12,1,9,34.2,35.15616438
1490,1491,8,18,0.444,2,8,0.25,1,2,0.5,2,6,10,1,1,5,1,19,15.7,-12,0,-17,34.3166667,35.16712329
1491,1492,14,21,0.667,3,5,0.6,3,3,1,0,12,13,2,0,6,2,34,32.8,22,1,8,36.3833333,35.16986301
1492,1493,9,16,0.563,2,5,0.4,2,3,0.667,1,6,14,1,2,3,1,22,25.3,-2,1,13,33.75,35.17534247
1493,1494,12,21,0.571,1,7,0.143,12,15,0.8,0,8,8,3,0,4,4,37,31.3,8,1,10,36.5,35.18356164
1494,1495,7,17,0.412,2,6,0.333,12,14,0.857,2,6,9,0,2,2,3,28,25.8,7,1,9,34.5166667,35.1890411
1495,1496,12,22,0.545,4,9,0.444,1,5,0.2,1,11,9,1,0,3,1,29,24.7,8,0,-2,34.8666667,35.19452055
1496,1497,6,19,0.316,2,7,0.286,2,2,1,2,9,7,1,1,5,3,16,9.6,-4,1,2,34.3,35.58356164
1497,1498,7,15,0.467,2,5,0.4,4,7,0.571,1,9,5,0,1,4,1,20,14.3,-20,0,-15,34.6,35.5890411
1498,1499,9,16,0.563,2,5,0.4,2,2,1,1,7,9,2,1,4,3,22,21,0,1,8,34.8833333,35.59452055
1499,1500,7,19,0.368,0,5,0,5,8,0.625,1,10,4,1,0,0,1,19,14.4,-8,0,-19,30.2833333,35.6
1500,1501,13,24,0.542,2,6,0.333,3,6,0.5,1,7,7,0,1,1,4,31,24,13,0,-5,35.15,35.60821918
1501,1502,9,21,0.429,5,11,0.455,6,10,0.6,0,1,12,0,2,5,0,29,21.4,-10,1,3,38.1,35.61369863
1502,1503,6,13,0.462,2,5,0.4,3,3,1,1,2,4,0,0,3,0,17,11.4,-13,0,-14,14.6,35.62191781
1503,1504,9,20,0.45,1,5,0.2,4,7,0.571,2,15,16,1,0,4,1,23,25.1,-3,0,-7,41.05,35.63561644
1504,1505,4,11,0.364,0,3,0,2,2,1,0,6,7,2,0,6,1,10,6.2,23,1,23,26.6833333,35.64109589
1505,1506,11,18,0.611,4,8,0.5,12,17,0.706,1,11,8,2,0,8,3,38,30.2,2,1,8,34.4833333,35.64657534
1506,1507,10,12,0.833,4,5,0.8,6,8,0.75,1,5,10,0,1,2,2,30,31.9,17,1,20,28.3,35.65205479
1507,1508,14,19,0.737,4,7,0.571,4,4,1,0,10,10,1,1,5,1,36,34.6,20,1,9,33.8666667,35.66575342
1508,1509,7,15,0.467,2,7,0.286,4,5,0.8,1,7,7,0,2,4,2,20,16.2,-15,0,-15,36.5666667,35.68219178
1509,1510,10,17,0.588,1,5,0.2,7,10,0.7,0,11,9,4,2,7,3,28,25.7,15,1,8,39.2666667,35.68767123
1510,1511,13,23,0.565,4,9,0.444,6,10,0.6,0,7,5,1,4,2,1,36,30.5,8,1,10,37.5166667,35.69315068
1511,1512,7,17,0.412,0,5,0,2,3,0.667,1,14,9,3,0,4,2,16,15.9,15,1,10,33.75,35.69863014
1512,1513,9,18,0.5,3,8,0.375,8,10,0.8,2,9,7,2,1,4,2,29,26.1,19,1,23,30.8,35.70410959
1513,1514,6,11,0.545,0,2,0,3,4,0.75,1,5,12,0,0,3,2,15,16.1,15,1,12,30.9,35.72054795
1514,1515,10,20,0.5,3,8,0.375,3,4,0.75,2,9,4,0,2,6,2,26,17.1,-9,1,2,36.4166667,35.7260274
1515,1516,14,23,0.609,1,4,0.25,1,2,0.5,1,9,11,2,2,6,1,30,27.2,2,0,-8,37.25,35.73150685
1516,1517,7,18,0.389,1,3,0.333,11,14,0.786,1,8,8,0,0,0,2,26,22.9,8,1,6,38.35,35.7369863
1517,1518,15,25,0.6,1,4,0.25,7,8,0.875,3,13,10,1,0,2,2,38,37.3,12,1,10,40.0166667,35.74246575
1518,1519,9,17,0.529,2,4,0.5,5,6,0.833,1,12,9,1,0,2,3,25,24.7,10,1,18,36.4,35.75342466
1519,1520,14,25,0.56,3,8,0.375,2,5,0.4,2,7,9,1,1,0,2,33,30.6,7,1,10,39.15,35.75890411
1520,1521,9,16,0.563,1,5,0.2,6,9,0.667,1,9,8,0,2,8,2,25,17.8,-4,0,-11,39.2166667,35.76438356
1521,1522,8,16,0.5,2,5,0.4,10,12,0.833,2,10,8,1,0,6,2,28,23.4,-2,1,6,38.6333333,35.76986301
1522,1523,15,21,0.714,6,9,0.667,4,6,0.667,3,10,7,3,0,4,1,40,39.1,7,0,-3,41.85,35.77808219
1523,1524,13,20,0.65,1,5,0.2,1,4,0.25,3,11,10,1,0,1,3,28,29.2,18,1,13,41.2166667,35.78356164
