,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
213,214,3,9,0.333,1,4,0.25,1,2,0.5,1,1,2,1,0,0,0,4,8,2.6,-21,0,-15,28.16666667,25.11506849
214,215,6,7,0.857,1,1,1,0,0,,4,2,6,0,1,1,2,3,13,12.4,8,1,8,20.8,25.12054795
215,216,7,10,0.7,0,2,0,0,0,,1,2,3,0,1,1,0,2,14,12,7,1,10,0.383333333,25.1260274
216,217,2,6,0.333,0,1,0,0,0,,0,0,0,3,0,0,1,2,4,0.9,0,1,10,22.38333333,25.13150685
217,218,5,9,0.556,3,6,0.5,4,4,1,0,4,4,2,0,1,1,2,17,14.2,-3,1,23,2.816666667,25.1369863
218,219,5,8,0.625,1,2,0.5,0,0,,2,2,4,0,0,0,1,2,11,7.6,-9,1,12,24.41666667,25.15342466
219,220,3,7,0.429,0,3,0,2,2,1,1,2,3,1,0,0,4,4,8,0.7,-2,1,2,20.95,25.15890411
220,221,4,7,0.571,1,2,0.5,2,3,0.667,0,1,1,1,0,0,1,1,11,6.9,-3,0,-8,2.016666667,25.16438356
221,222,4,11,0.364,2,7,0.286,0,0,,0,0,0,1,1,0,1,1,10,4.2,0,1,6,18.5,25.16986301
222,223,3,7,0.429,1,3,0.333,1,1,1,0,3,3,1,0,1,0,3,8,5.4,0,1,10,20.73333333,25.17534247
223,224,1,7,0.143,1,4,0.25,0,0,,2,6,8,2,1,0,1,2,3,2.3,11,1,18,22.06666667,25.18630137
224,225,3,8,0.375,2,6,0.333,3,3,1,1,1,2,1,0,0,3,1,11,4.9,5,1,10,21.66666667,25.19178082
225,226,6,13,0.462,4,8,0.5,3,3,1,2,1,3,0,0,0,1,3,19,11.8,6,0,-11,22.91666667,25.19726027
226,227,3,6,0.5,2,5,0.4,1,2,0.5,0,2,2,0,0,0,1,2,9,4.4,-4,1,6,19,25.20273973
227,228,3,10,0.3,0,4,0,1,2,0.5,1,0,1,0,0,1,0,3,7,1,-17,0,-3,22.15,25.2109589
228,229,1,4,0.25,0,2,0,0,0,,0,1,1,0,0,0,1,3,2,-2.3,2,1,13,21.93333333,25.21643836
